gene	length
PST_1793	696
PST_1792	597
PST_1790	195
sda-2	1377
sdhA	1773
PST_3993	1353
sdhC	375
sdhB	705
sdhD	369
PST_2204	2142
PST_0762a	120
PST_2206	921
PST_2207	2060
PST_2200	1278
PST_2201	1080
PST_2202	153
PST_2203	279
trpC	837
trpA	810
trpF	624
trpG	594
trpD	1047
trpE	1605
vacJ	702
PST_3075	1329
PST_3076	2718
PST_3077	768
PST_2414	1092
PST_3071	669
PST_3072	795
PST_3073	879
vacB	2502
trpS	1359
PST_2884	1674
PST_4074	153
fliP	600
rfaE	1422
PST_1089	1203
fliR	777
PST_2322	1488
PST_1641	1140
PST_2519	1185
PST_1643	231
PST_1642	357
PST_1645	429
PST_1644	411
PST_1647	1329
PST_1646	90
PST_2510	1356
PST_1648	690
folB-1	354
PST_2514	174
PST_2515	987
PST_2516	810
PST_2517	735
PST_3108	699
PST_3109	1359
cheY-1	390
PST_3100	1932
PST_3101	621
PST_3102	1629
PST_3103	1116
PST_3104	1038
PST_3106	453
PST_3107	1254
envZ	1332
PST_2888	1806
gap-2	1452
fliJ	453
nagZ	798
moeB	756
PST_2677	873
PST_2676	558
PST_2673	564
PST_2672	894
PST_2328	714
PST_2679	855
PST_2678	234
PST_2472	126
PST_2470	579
PST_2477	849
PST_0688	780
PST_2474	918
PST_2479	1179
PST_2478	405
PST_0682	1224
PST_0680	1116
PST_0681	2772
PST_3509	2019
PST_3332	315
PST_4052	792
PST_4011	849
PST_1252	828
PST_3817	1488
PST_3814	618
PST_3026	894
PST_3812	801
PST_3813	447
PST_3811	681
PST_3819	360
PST_0356	1638
PST_0357	1314
PST_0351	630
PST_0352	555
PST_0358	1608
PST_0359	726
csrA	186
PST_3390	735
tyrS	1200
aroQ	444
PST_2821	573
flhB	1137
aroB	1104
aroC	1092
flhF	1293
aroE	831
PST_0239	438
PST_0238	360
PST_0237	1773
PST_0236	504
PST_0235	1020
aroK	468
PST_0233	1038
PST_0232	237
PST_0231	489
PST_0230	420
PST_1324	564
PST_1325	852
PST_2858	417
PST_3786	1452
PST_2855	636
PST_2854	456
PST_2857	384
PST_2856	648
PST_2851	591
PST_1908	963
PST_2853	975
PST_2732	1425
PST_2699	783
PST_2698	570
uvrA	2958
PST_2693	411
PST_2692	372
PST_2697	924
PST_2696	771
PST_2695	732
PST_2694	1836
PST_0448	618
PST_3787	585
PST_0449	1278
cmk	690
PST_1902	987
PST_4138	393
PST_4139	504
PST_4134	1374
PST_4135	216
PST_4136	843
PST_4137	765
PST_4130	426
PST_4131	1203
PST_4132	417
PST_4133	843
PST_0121	591
PST_0120	990
PST_1096	486
PST_2311	1644
PST_3679	1521
PST_3676	291
PST_3677	630
exaB	438
PST_3672	471
PST_3673	1491
endA	732
PST_4016	648
guaA	1581
lpxK	1005
colR	684
srmB	1368
colS	1269
rpe	612
PST_1148	1131
sthA	1395
rph	723
PST_1149	1035
PST_4040	975
PST_4041	1263
PST_4044	1926
PST_4045	1545
PST_4046	186
PST_4048	966
PST_4049	2553
mdoG	1497
hprA	963
PST_0900	1035
purB	1398
rhlB	1431
PST_0904	552
PST_0907	651
PST_0906	705
PST_0909	672
PST_0908	831
PST_2075	279
PST_2071	1521
PST_2070	249
rpmI	195
rpmH	135
rpmJ	117
PST_3249	2903
PST_3248	657
rpmA	258
PST_3246	2310
rpmC	192
rpmB	237
PST_3243	1287
rpmD	180
lgt	801
ppnK	990
PST_3599	456
PST_3489	1842
PST_3481	603
PST_3480	549
PST_3483	2799
PST_3482	429
PST_2253	771
coxB	1110
coxA	1527
PST_2250	2253
PST_1418	3384
PST_1419	591
PST_1415	1185
PST_1416	354
PST_1417	291
PST_1410	360
PST_1411	405
PST_1412	1773
fabZ	438
crcB	375
fabG	744
fabF	1245
fabA	516
fabB	1218
PST_3244	702
PST_3572	144
motB	837
PST_0605	777
azlC	717
PST_3577	1401
fkpB	438
lpxA	777
PST_3806	717
mtlZ	933
PST_3471	1539
amn	1473
PST_3143	2820
arsH	714
phaR	681
phaP	567
PST_1520	501
PST_1521	639
PST_1522	465
PST_3473	291
PST_1525	690
PST_1527	237
PST_1528	462
PST_1529	2793
phaC	1701
phaB	756
phaA	1179
PST_3397	147
PST_2217	1386
PST_2216	693
PST_2215	162
PST_2214	270
PST_2213	282
PST_2211	1634
PST_2210	831
PST_2219	990
PST_2218	885
PST_3067	192
PST_3066	984
PST_3065	1236
PST_3064	1656
PST_3063	297
PST_3025	1149
pgsA	615
bcpA	864
PST_3069	756
PST_3068	1212
nirT	609
coaD	612
PST_2716	318
mfd	3447
nirP	249
nirS	1683
hmuV	768
ubiH	1179
aceF	1665
nirE	837
nirD	459
PST_3240	1545
nirF	1176
lon-1	2376
nirC	342
nirB	813
nirM	315
PST_0488	585
nirO	528
nirN	1509
tuf-1	1194
nirJ	1182
gmk	621
PST_1635	717
PST_2509	750
PST_2508	2163
PST_1630	744
PST_1631	696
PST_1632	756
PST_1633	897
PST_2503	1500
PST_2502	1185
hesB	324
PST_2500	768
PST_1638	717
PST_1639	1602
PST_2505	408
PST_2504	729
PST_3119	762
PST_3921	939
clpA	2271
PST_3113	909
PST_3112	411
PST_3111	504
PST_3117	1581
adk	648
PST_3115	783
rpmE2	258
PST_3788	717
mdcB	873
mdcC	300
mdcA	1668
mdcD	867
mdcE	786
PST_0691	2550
PST_1749	1074
PST_2445	810
PST_0695	1035
PST_0694	1959
PST_0697	300
PST_0696	165
PST_0699	1185
PST_0698	651
PST_1742	708
PST_1743	1209
PST_1744	2067
PST_2448	624
PST_2449	867
PST_2842	1122
nosL	573
PST_2843	924
PST_2794	252
PST_2712	732
nadA	1341
PST_3809	984
PST_4205	345
PST_3801	1842
PST_2846	267
PST_3803	1074
PST_3802	1962
lppL	189
PST_2847	531
PST_1245	2019
PST_1244	225
PST_1247	816
PST_1241	624
PST_2844	651
PST_2436	1224
PST_2994	76
PST_2995	76
nadD	603
PST_2435	780
PST_2992	76
PST_2993	76
PST_0347	483
PST_0346	2373
PST_0343	375
PST_0342	1932
PST_0341	333
murA	1266
murB	1020
murC	1458
murD	1344
murE	1464
murF	1377
murG	1071
PST_2296	708
aroP1	1395
PST_4025	1671
PST_2430	210
ctaG	576
rulA	432
eutB	1392
dcd	516
PST_2966	162
PST_1339	321
PST_1338	297
PST_0200	1926
PST_0201	2556
PST_0206	672
PST_2711	1365
PST_0204	252
PST_0205	537
PST_1332	486
hemA	1269
PST_1337	210
PST_1336	480
ndh	1296
ndk	432
zipA	822
waaC	843
czcA	3123
tolA	999
PST_4128	720
PST_4127	138
PST_4126	375
PST_4125	2025
PST_1677	1549
PST_4123	429
PST_4121	870
PST_1921	1203
PST_0116	348
PST_0117	297
PST_0114	324
PST_0115	1953
arcD-1	1428
hflC	867
PST_0110	708
mraY	1083
mraW	882
PST_1923	1095
hflK	1179
PST_0118	318
PST_0119	801
PST_3927	336
PST_1883	444
PST_1882	462
PST_2446	741
rplT	357
hflX	1260
PST_1887	1071
madL	417
madM	765
fliQ	270
PST_2196	912
fliS	387
PST_1886	579
fliM	1029
fliL	534
fliO	420
fliN	582
fliI	1380
fliH	777
fliK	1230
PST_2447	1215
fliE	330
fliG	1017
PST_1884	1242
fliA	726
fliC	1449
PST_4022	915
PST_4051	528
PST_4050	1230
PST_4057	1866
PST_4056	789
PST_4055	405
kdsA	846
fdnI-1	624
fdnI-2	705
PST_4058	870
kdsB	624
waaP	927
PST_4027	966
PST_0976	861
PST_0977	372
PST_2047	525
phbR	1023
PST_2048	861
PST_2049	606
PST_0979	459
PST_2199	1017
PST_4141	540
PST_3270	336
PST_3276	1236
PST_3277	1014
pip	975
cobN	3678
PST_3470	270
xdhA	1302
prkA	1794
cobO	612
PST_3474	174
PST_3475	456
PST_3476	615
PST_3477	2289
PST_3479	1692
PST_3855	2673
hpt	558
comL	1125
PST_3587	1296
PST_4146	459
ppsA	2286
hpd	1086
PST_1409	327
PST_1408	450
PST_1407	318
PST_1406	1407
PST_1405	366
PST_1403	204
PST_1402	4848
PST_1401	681
PST_3648	1596
pdxH	648
pdxJ	747
PST_2197	1374
PST_2190	1308
PST_2191	945
exbB1	621
pdxA	990
pdxB	1146
PST_1738	738
PST_0392	882
PST_3584	1011
metZ	1212
PST_3586	471
cysE2	777
PST_3580	1137
PST_3581	1578
PST_3582	387
PST_3583	1590
PST_2648	228
bcp	474
PST_3589	393
PST_2649	1050
